Overall - Precision: 0.7229, Recall: 0.6347, F-beta: 0.6759
workclass=Private (n=4506, N=6513)- Precision: 0.7145, Recall: 0.6275, F-beta: 0.6681
workclass=Local-gov (n=424, N=6513)- Precision: 0.7629, Recall: 0.6491, F-beta: 0.7014
workclass=Self-emp-not-inc (n=517, N=6513)- Precision: 0.7059, Recall: 0.5000, F-beta: 0.5854
workclass=State-gov (n=269, N=6513)- Precision: 0.7432, Recall: 0.7534, F-beta: 0.7483
workclass=? (n=364, N=6513)- Precision: 0.5484, Recall: 0.4474, F-beta: 0.4928
workclass=Federal-gov (n=209, N=6513)- Precision: 0.7368, Recall: 0.6747, F-beta: 0.7044
workclass=Self-emp-inc (n=216, N=6513)- Precision: 0.7869, Recall: 0.8000, F-beta: 0.7934
workclass=Never-worked (n=4, N=6513)- Precision: 1.0000, Recall: 1.0000, F-beta: 1.0000
workclass=Without-pay (n=4, N=6513)- Precision: 1.0000, Recall: 1.0000, F-beta: 1.0000
education=Prof-school (n=119, N=6513)- Precision: 0.8947, Recall: 0.9239, F-beta: 0.9091
education=Bachelors (n=1037, N=6513)- Precision: 0.6953, Recall: 0.7531, F-beta: 0.7230
education=Some-college (n=1456, N=6513)- Precision: 0.6037, Recall: 0.4729, F-beta: 0.5304
education=9th (n=89, N=6513)- Precision: 1.0000, Recall: 0.0000, F-beta: 0.0000
education=Masters (n=361, N=6513)- Precision: 0.8812, Recall: 0.8900, F-beta: 0.8856
education=HS-grad (n=2111, N=6513)- Precision: 0.6146, Recall: 0.4051, F-beta: 0.4884
education=Doctorate (n=95, N=6513)- Precision: 0.8919, Recall: 0.8462, F-beta: 0.8684
education=Assoc-voc (n=259, N=6513)- Precision: 0.6346, Recall: 0.4925, F-beta: 0.5546
education=Preschool (n=11, N=6513)- Precision: 0.0000, Recall: 1.0000, F-beta: 0.0000
education=12th (n=90, N=6513)- Precision: 1.0000, Recall: 0.5000, F-beta: 0.6667
education=7th-8th (n=145, N=6513)- Precision: 1.0000, Recall: 0.2857, F-beta: 0.4444
education=Assoc-acdm (n=212, N=6513)- Precision: 0.8333, Recall: 0.6364, F-beta: 0.7216
education=11th (n=240, N=6513)- Precision: 0.5000, Recall: 0.1667, F-beta: 0.2500
